Alive server list: LCC,MIT,CAMBRI,OXFORD,NKFUST,HKSYU,USTL,
Failed server list: BL,
954925247108,,1560-182X,
958480153047,,1000-985X,
958480153051,,1001-2028,
110975506072137,SCHOOLASS,1360-1326,
110978976474351,,0018-7372,2271-1791
110978977744347,,1025-1979,
110978977744393,,1034-5329,
110978978377643,,0257-2605,2415-2382
110978978380075,,0360-7550,
110978979435254,,1015-8154,2235-2090
110978979437538,,1085-4975,
110978979784593,,1071-6653,
110978984252838,,1326-4443,
110978984349155,,0938-5363,1862-5231
110978984349335,,0950-0642,
110978984444147,,1025-5591,
110978984444595,,1073-9696,
110978984445089,,1088-6672,
110978984445091,,1088-6710,
110978984448611,,1437-062X,2195-5166
110978984449375,,1525-6790,
110978984568373,,1413-5787,
110990130683030,,1057-9656,
111054751708032,,1347-3832,
111056648952212,,1544-6948,
111056649445186,,1544-9262,
111075993722024,SCHOOLST,1073-5127,1073-5727
111076342923278,,1560-6473,
111076342923282,,1560-8999,
111076342923292,,1561-3658,
111076342924308,,1562-9740,
111076342924322,,1563-4795,
111076342924324,,1605-2471,
111076342924342,,1607-2928,
111076342924366,,1671-0029,
111076342925378,,1671-0118,
111076342925380,,1671-0126,
111076342925382,,1671-0134,
111076342925384,,1671-0142,
111076342925386,,1671-0150,
111076342925388,,1671-0169,
111076342925394,,1671-0223,
111076342925396,,1671-0231,
111076342925398,,1671-024X,
111076342925400,,1671-0258,
111076342925404,,1671-0282,
111076342925408,,1671-0304,
111076342925410,,1671-0312,
111076342925414,,1671-0339,
111076342925418,,1671-0355,
111076342925420,,1671-0363,
111076342925424,,1671-038X,
111076342925426,,1671-0398,
111076342925428,,1671-0428,
111076342925432,,1671-0452,
111076342925434,,1671-0479,
111076342925436,,1671-0495,
111076342925440,,1671-0525,
111076342926442,,1671-0541,
111076342926444,,1671-055X,
111076342926446,,1671-0568,
111076342926452,,1671-0592,
111076342926458,,1671-0622,
111076342926462,,1671-0657,
111076342926464,,1671-0665,
111076342926466,,1671-0673,
111076342926468,,1671-0681,
111076342926472,,1671-0703,
111076342926480,,1671-0770,
111076342926486,,1671-0800,
111076342926498,,1671-0916,
111076342926502,,1671-0959,
111076342926504,,1671-0967,
111076342926506,,1671-0975,
111076342926508,,1671-0983,
111076342926510,,1671-0991,
111076342926512,,1671-1009,
111076342926516,,1671-1033,
111076342927522,,1671-1084,
111076342927530,,1671-1114,
111076342927532,,1671-1122,
111076342927536,,1671-1157,
111076342927538,,1671-1165,
111076342927540,,1671-1173,
111076342927542,,1671-1181,
111076342927548,,1671-1211,
111076342927550,,1671-1254,
111076342927552,,1671-1262,
111076342927554,,1671-1270,
111076342927558,,1671-1300,
111076342927566,,1671-1351,
111076342927576,,1671-1432,
111076342927578,,1671-1440,
111076342927588,,1671-1491,
111076342928592,,1671-1513,
111076342928594,,1671-1521,
111076342928598,,1671-1556,
111076342928600,,1671-1572,
111076342928602,,1671-1599,
111076342928604,,1671-1602,
111076342928606,,1671-1610,
111076342928612,,1671-1645,
111076342928614,,1671-1653,
111076342928618,,1671-1688,
111076342928620,,1671-1696,
111076342928622,,1671-170X,
111076342928626,,1671-1734,
111076342928628,,1671-1742,
111076342928630,,1671-1750,
111076342928632,,1671-1777,
111076342928634,,1671-1785,
111076342928636,,1671-1807,
111076342928640,,1671-1882,
111076342928642,,1671-1904,
111076342928650,,1671-1947,
111076342928654,,1671-198X,
111076342928662,,1671-2072,
111076342929668,,1671-2129,
111076342929672,,1671-2145,
111076342929674,,1671-2153,
111076342929678,,1671-2196,
111076342929680,,1671-2218,
111076342929682,,1671-2226,
111076342929684,,1671-2242,
111076342929686,,1671-2250,
111076342929688,,1671-2269,
111076342929692,,1671-2293,
111076342929694,,1671-2307,
111076342929696,,1671-2323,
111076342929710,,1671-2404,
111076342929712,,1671-2420,
111076342929716,,1671-2447,
111076342929720,,1671-248X,
111076342929722,,1671-2498,
111076342929724,,1671-251X,
111076342929726,,1671-2528,
111076342929728,,1671-2544,
111076342929730,,1671-2552,
111076342929732,,1671-2560,
111076342930736,,1671-2587,
111076342930752,,1671-2684,
111076342930754,,1671-2714,
111076342930756,,1671-2722,
111076342930760,,1671-2749,
111076342930762,,1671-2757,
111076342930764,,1671-2773,
111076342930768,,1671-2811,
111076342930770,,1671-2854,
111076342930772,,1671-2862,
111076342930774,,1671-2870,
111076342930776,,1671-2897,
111076342930778,,1671-2900,
111076342930788,,1671-301X,
111076342930794,,1671-3044,
111076342930796,,1671-3060,
111076342930800,,1671-3087,
111076342930802,,1671-3095,
111076342931806,,1671-3141,
111076342931808,,1671-315X,
111076342931812,,1671-3176,
111076342931814,,1671-3222,
111076342931822,,1671-3265,
111076342931828,,1671-332X,
111076342931830,,1671-3346,
111076342931856,,1671-3540,
111076342931864,,1671-3591,
